,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
0,0.0,0.0695106759526174,0.015093814791050927,24,40560,2
1,0.0,0.2780427038104698,0.015093814791050928,24,40560,2
2,0.0,0.07785036190282113,0.01901239784426396,24,40560,2
3,0.0,0.6228028952225693,0.019012397844263965,24,40560,2
4,0.0,0.810993829237537,0.2939355759106525,24,40560,2
5,0.0,0.9268500905571851,0.29393557591065256,24,40560,2
6,0.056976312720275146,0.9650631120193488,0.054198470015982596,24,40560,2
7,0.01899210424009168,0.48253155600967435,0.054198470015982596,24,40560,2
8,0.0,0.0,0.0,24,40560,2
9,0.0,0.0,0.0,24,40560,2
10,0.0,0.0,0.0,24,40560,2
11,1.0,1.0,0.0,24,40560,2
12,0.0,0.9155117228930507,0.07832897749098537,24,40560,2
13,0.0,0.430829046067318,0.07832897749098536,24,40560,2
14,0.0,0.0,0.0,24,40560,2
15,0.0,0.0,0.0,24,40560,2
16,0.0,0.0,0.0,24,40560,2
17,1.0,1.0,0.0,24,40560,2
18,0.0,0.0,0.0,24,40560,2
19,1.0,1.0,0.0,24,40560,2
20,0.1888482811049199,0.8421209046769818,0.07695827388039504,24,40560,2
21,0.0629494270349733,0.4812119455297039,0.07695827388039504,24,40560,2
22,0.0,0.0,0.0,24,40560,2
23,1.0,1.0,0.0,24,40560,2
24,0.0,0.04325551154973806,0.013208529829708125,24,40560,2
25,0.0,0.34604409239790457,0.013208529829708127,24,40560,2
26,0.0,0.0,0.0,24,40560,2
27,1.0,1.0,0.0,24,40560,2
28,0.0,0.9307048969120812,0.052453370665238905,24,40560,2
29,0.0,0.3545542464426976,0.05245337066523892,24,40560,2
30,0.0,0.3630445605287681,0.15581703741858247,24,40560,2
31,0.0,0.7260891210575362,0.15581703741858252,24,40560,2
32,0.0,0.9155117228930507,0.07528543712722434,24,40560,2
33,0.0,0.4068940990635781,0.07528543712722434,24,40560,2
34,0.0,0.0,0.0,24,40560,2
35,0.0,0.0,0.0,24,40560,2
36,0.0,0.9211908962113173,0.1402611201250324,24,40560,2
37,0.0,0.8188363521878377,0.1402611201250324,24,40560,2
38,0.0,0.34355407953477723,0.05537862624596076,24,40560,2
39,0.0,0.9161442120927393,0.05537862624596077,24,40560,2
40,0.0,0.9153380324344189,0.035971936472706745,24,40560,2
41,0.0,0.2816424715182827,0.03597193647270675,24,40560,2
42,0.0,0.0,0.0,24,40560,2
43,1.0,1.0,0.0,24,40560,2
44,0.0,0.0,0.0,24,40560,2
45,1.0,1.0,0.0,24,40560,2
46,0.0,0.0,0.0,24,40560,2
47,1.0,1.0,0.0,24,40560,2
48,0.0,0.0,0.0,24,40560,2
49,1.0,1.0,0.0,24,40560,2
50,0.0,0.9650631120193488,0.05820527353860067,24,40560,2
51,0.0,0.4541473468326347,0.05820527353860067,24,40560,2
52,0.0,0.9650631120193488,0.08655653503759189,24,40560,2
53,0.0,0.5938849920119069,0.08655653503759188,24,40560,2
54,0.0,0.0,0.0,24,40560,2
55,1.0,1.0,0.0,24,40560,2
56,0.0,0.9153380324344189,0.032879236749929555,24,40560,2
57,0.0,0.29290817037901407,0.03287923674992956,24,40560,2
58,0.0,0.0,0.0,24,40560,2
59,1.0,1.0,0.0,24,40560,2
60,0.7842038673485942,0.9468421612117034,0.12757897967634388,24,40560,2
61,0.392101933674297,0.7574737289693627,0.12757897967634388,24,40560,2
62,0.0,0.9650631120193488,0.06745076878674651,24,40560,2
63,0.0,0.5514646354396279,0.06745076878674651,24,40560,2
64,0.0,0.0,0.0,24,40560,2
65,1.0,1.0,0.0,24,40560,2
66,0.0,0.24765307761454158,0.08831019856529794,24,40560,2
67,0.0,0.9906123104581663,0.08831019856529793,24,40560,2
68,0.0,0.9155117228930507,0.08281455980495679,24,40560,2
69,0.0,0.4068940990635781,0.08281455980495679,24,40560,2
70,0.0,0.9650631120193488,0.10520350383217245,24,40560,2
71,0.0,0.6433754080128993,0.10520350383217245,24,40560,2
72,0.0,0.0,0.0,24,40560,2
73,0.0,0.0,0.0,24,40560,2
74,0.0,0.0,0.0,24,40560,2
75,1.0,1.0,0.0,24,40560,2
76,0.0,0.9155117228930507,0.05178322657971826,24,40560,2
77,0.0,0.36620468915722026,0.05178322657971826,24,40560,2
78,0.4666412561991852,0.4666412561991852,0.7041402382849649,24,40560,2
79,0.9332825123983703,0.9332825123983703,0.7041402382849649,24,40560,2
80,0.0,0.2780427038104698,0.009373483629828854,24,40560,2
81,0.0,0.07944077251727699,0.009373483629828854,24,40560,2
82,0.0,0.2780427038104698,0.0023257550359649516,24,40560,2
83,0.0,0.0347553379763087,0.0023257550359649516,24,40560,2
84,0.0,0.0,0.0,24,40560,2
85,0.0,0.0,0.0,24,40560,2
86,0.0,0.0,0.0,24,40560,2
87,1.0,1.0,0.0,24,40560,2
88,0.0,0.7484202383645604,0.013392891348714337,24,40560,2
89,0.0,0.08804943980759539,0.013392891348714336,24,40560,2
90,0.0,0.0,0.0,24,40560,2
91,0.0,0.0,0.0,24,40560,2
92,0.0,0.0,0.0,24,40560,2
93,1.0,1.0,0.0,24,40560,2
94,0.0,0.0,0.0,24,40560,2
95,1.0,1.0,0.0,24,40560,2
96,0.0,0.3106284327447013,0.020695521191707596,24,40560,2
97,0.0,0.04437549039210009,0.020695521191707596,24,40560,2
98,0.0,0.0,0.0,24,40560,2
99,1.0,1.0,0.0,24,40560,2
100,0.3949793423884824,0.3949793423884824,0.5977057349998122,24,40560,2
101,0.789958684776965,0.789958684776965,0.5977057349998122,24,40560,2
102,0.0,0.0,0.0,24,40560,2
103,1.0,1.0,0.0,24,40560,2
104,0.0,0.7339795405210489,0.003900993465957293,24,40560,2
105,0.0,0.06990281338295712,0.0039009934659572933,24,40560,2
106,0.0,0.2780427038104698,0.006485423151532213,24,40560,2
107,0.0,0.1390213519052349,0.006485423151532213,24,40560,2
108,0.0,0.7484202383645604,0.01294060731376132,24,40560,2
109,0.0,0.08315780426272901,0.012940607313761322,24,40560,2
110,0.0,0.0,0.0,24,40560,2
111,0.0,0.0,0.0,24,40560,2
112,0.0,0.2780427038104698,0.005162374668781312,24,40560,2
113,0.0,0.06178726751343766,0.005162374668781312,24,40560,2
114,0.0,0.3106284327447013,0.10217596432796153,24,40560,2
115,0.0,0.20708562182980084,0.10217596432796153,24,40560,2
116,0.0,0.7665652694552803,0.01158857109460829,24,40560,2
117,0.0,0.05896655918886762,0.011588571094608292,24,40560,2
118,0.0,0.0,0.0,24,40560,2
119,1.0,1.0,0.0,24,40560,2
120,0.0,0.0,0.0,24,40560,2
121,1.0,1.0,0.0,24,40560,2
122,0.0,0.0,0.0,24,40560,2
123,1.0,1.0,0.0,24,40560,2
124,0.0,0.0,0.0,24,40560,2
125,1.0,1.0,0.0,24,40560,2
126,0.0,0.2780427038104698,0.0024785494478191724,24,40560,2
127,0.0,0.03271090633064355,0.0024785494478191724,24,40560,2
128,0.0,0.2780427038104698,0.0034962086001585936,24,40560,2
129,0.0,0.0427758005862261,0.0034962086001585936,24,40560,2
130,0.0,0.0,0.0,24,40560,2
131,1.0,1.0,0.0,24,40560,2
132,0.0,0.7665652694552803,0.010649596770187142,24,40560,2
133,0.0,0.061325221556422393,0.010649596770187144,24,40560,2
134,0.0,0.0,0.0,24,40560,2
135,1.0,1.0,0.0,24,40560,2
136,0.0,0.2780427038104698,0.0047961750360370125,24,40560,2
137,0.0,0.05560854076209387,0.0047961750360370125,24,40560,2
138,0.0,0.2780427038104698,0.0028223320227662553,24,40560,2
139,0.0,0.039720386258638496,0.0028223320227662553,24,40560,2
140,0.0,0.0,0.0,24,40560,2
141,1.0,1.0,0.0,24,40560,2
142,0.0,0.2780427038104698,0.020524047155473762,24,40560,2
143,0.0,0.2780427038104698,0.020524047155473762,24,40560,2
144,0.0,0.7484202383645604,0.014050857372995941,24,40560,2
145,0.0,0.08315780426272901,0.014050857372995943,24,40560,2
146,0.0,0.2780427038104698,0.004110322022457281,24,40560,2
147,0.0,0.0463404506350783,0.004110322022457281,24,40560,2
148,0.0,0.0,0.0,24,40560,2
149,0.0,0.0,0.0,24,40560,2
150,0.0,0.0,0.0,24,40560,2
151,1.0,1.0,0.0,24,40560,2
152,0.0,0.7484202383645604,0.00928003178141221,24,40560,2
153,0.0,0.0748420238364561,0.009280031781412209,24,40560,2
154,0.0,0.6228028952225693,0.010749350433414444,24,40560,2
155,0.0,0.0889718421746527,0.010749350433414444,24,40560,2
156,0.0,0.6228028952225693,0.0024020397106695973,24,40560,2
157,0.0,0.03892518095141062,0.0024020397106695977,24,40560,2
158,0.0,0.0,0.0,24,40560,2
159,0.0,0.0,0.0,24,40560,2
160,0.0,0.0,0.0,24,40560,2
161,1.0,1.0,0.0,24,40560,2
162,0.0,0.6516842909095922,0.011529919533518035,24,40560,2
163,0.0,0.038334370053505484,0.011529919533518033,24,40560,2
164,0.0,0.0,0.0,24,40560,2
165,0.0,0.0,0.0,24,40560,2
166,0.0,0.0,0.0,24,40560,2
167,1.0,1.0,0.0,24,40560,2
168,0.0,0.0,0.0,24,40560,2
169,1.0,1.0,0.0,24,40560,2
170,0.0,0.6879743530910322,0.02164500266136011,24,40560,2
171,0.0,0.049141025220788004,0.021645002661360106,24,40560,2
172,0.0,0.0,0.0,24,40560,2
173,1.0,1.0,0.0,24,40560,2
174,0.7232411971753353,0.7232411971753353,0.5844031230293962,24,40560,2
175,0.7232411971753353,0.7232411971753353,0.5844031230293962,24,40560,2
176,0.0,0.0,0.0,24,40560,2
177,1.0,1.0,0.0,24,40560,2
178,0.0,0.6228028952225693,0.002330333749015617,24,40560,2
179,0.0,0.029657280724884272,0.0023303337490156177,24,40560,2
180,0.0,0.6228028952225693,0.007115569029112507,24,40560,2
181,0.0,0.15570072380564226,0.007115569029112507,24,40560,2
182,0.0,0.6516842909095922,0.011124133059525004,24,40560,2
183,0.0,0.036204682828310686,0.011124133059525004,24,40560,2
184,0.0,0.0,0.0,24,40560,2
185,0.0,0.0,0.0,24,40560,2
186,0.0,0.6228028952225693,0.005553881433806547,24,40560,2
187,0.0,0.06920032169139667,0.005553881433806546,24,40560,2
188,0.0,0.6879743530910322,0.1304215500006496,24,40560,2
189,0.0,0.22932478436367731,0.1304215500006496,24,40560,2
190,0.0,0.6879743530910322,0.010639603388557307,24,40560,2
191,0.0,0.026460552041962737,0.01063960338855731,24,40560,2
192,0.0,0.0,0.0,24,40560,2
193,1.0,1.0,0.0,24,40560,2
194,0.0,0.0,0.0,24,40560,2
195,1.0,1.0,0.0,24,40560,2
196,0.0,0.0,0.0,24,40560,2
197,1.0,1.0,0.0,24,40560,2
198,0.0,0.0,0.0,24,40560,2
199,1.0,1.0,0.0,24,40560,2
200,0.0,0.6228028952225693,0.0025653737662196005,24,40560,2
201,0.0,0.0366354644248571,0.0025653737662196005,24,40560,2
202,0.0,0.6228028952225693,0.0036714887281646814,24,40560,2
203,0.0,0.04790791501712077,0.0036714887281646814,24,40560,2
204,0.0,0.0,0.0,24,40560,2
205,1.0,1.0,0.0,24,40560,2
206,0.0,0.6879743530910322,0.009760630976223594,24,40560,2
207,0.0,0.02751897412364135,0.009760630976223594,24,40560,2
208,0.0,0.0,0.0,24,40560,2
209,1.0,1.0,0.0,24,40560,2
210,0.0,0.6228028952225693,0.0051322995326597036,24,40560,2
211,0.0,0.06228028952225695,0.005132299532659704,24,40560,2
212,0.0,0.6228028952225693,0.0029354620032838027,24,40560,2
213,0.0,0.04448592108732641,0.0029354620032838027,24,40560,2
214,0.0,0.0,0.0,24,40560,2
215,1.0,1.0,0.0,24,40560,2
216,0.0,0.6228028952225693,0.02851579144249252,24,40560,2
217,0.0,0.31140144761128463,0.02851579144249252,24,40560,2
218,0.0,0.6516842909095922,0.01212238566950976,24,40560,2
219,0.0,0.036204682828310686,0.012122385669509761,24,40560,2
220,0.0,0.6228028952225693,0.0043547388540070555,24,40560,2
221,0.0,0.05190024126854753,0.004354738854007055,24,40560,2
222,0.0,0.0,0.0,24,40560,2
223,0.0,0.0,0.0,24,40560,2
224,0.0,0.0,0.0,24,40560,2
225,1.0,1.0,0.0,24,40560,2
226,0.0,0.6516842909095922,0.00788337572516981,24,40560,2
227,0.0,0.03258421454547966,0.007883375725169808,24,40560,2
228,0.0,0.9266955190197627,0.07277763219491143,24,40560,2
229,0.0,0.4054292895711462,0.07277763219491143,24,40560,2
230,0.0,0.0,0.0,24,40560,2
231,0.0,0.0,0.0,24,40560,2
232,0.0,0.0,0.0,24,40560,2
233,1.0,1.0,0.0,24,40560,2
234,0.0,0.9566953288800686,0.15743040970217212,24,40560,2
235,0.0,0.3939333707153224,0.15743040970217206,24,40560,2
236,0.0,0.0,0.0,24,40560,2
237,0.0,0.0,0.0,24,40560,2
238,0.0,0.0,0.0,24,40560,2
239,1.0,1.0,0.0,24,40560,2
240,0.0,0.0,0.0,24,40560,2
241,1.0,1.0,0.0,24,40560,2
242,0.0,0.95151103428272,0.15483483612267637,24,40560,2
243,0.0,0.47575551714136,0.15483483612267634,24,40560,2
244,0.0,0.0,0.0,24,40560,2
245,1.0,1.0,0.0,24,40560,2
246,0.0,0.04943487034255778,0.008610277775722826,24,40560,2
247,0.0,0.34604409239790457,0.008610277775722826,24,40560,2
248,0.0,0.0,0.0,24,40560,2
249,1.0,1.0,0.0,24,40560,2
250,0.0,0.8874289874685997,0.07060380598987569,24,40560,2
251,0.0,0.2958096624895332,0.07060380598987569,24,40560,2
252,0.0,0.414908069175735,0.11464756602736778,24,40560,2
253,0.0,0.7260891210575362,0.11464756602736778,24,40560,2
254,0.0,0.9566953288800686,0.15165988583519127,24,40560,2
255,0.0,0.37204818345336,0.15165988583519124,24,40560,2
256,0.0,0.0,0.0,24,40560,2
257,0.0,0.0,0.0,24,40560,2
258,0.17003642772410854,0.8765558438105838,0.1684050730776207,24,40560,2
259,0.25505464158616264,0.6817656562971208,0.1684050730776207,24,40560,2
260,0.2874425809732607,0.3729884445313212,0.028416269427803335,24,40560,2
261,0.4311638714598911,0.8703063705730825,0.028416269427803335,24,40560,2
262,0.0,0.9564968254987751,0.0747848266788427,24,40560,2
263,0.0,0.25751837609582406,0.0747848266788427,24,40560,2
264,0.0,0.0,0.0,24,40560,2
265,1.0,1.0,0.0,24,40560,2
266,0.0,0.0,0.0,24,40560,2
267,1.0,1.0,0.0,24,40560,2
268,0.0,0.0,0.0,24,40560,2
269,1.0,1.0,0.0,24,40560,2
270,0.0,0.0,0.0,24,40560,2
271,1.0,1.0,0.0,24,40560,2
272,0.0,0.9266955190197627,0.07772953038911656,24,40560,2
273,0.0,0.38158050783166697,0.07772953038911656,24,40560,2
274,0.0,0.9266955190197627,0.11127489136051257,24,40560,2
275,0.0,0.49898989485679535,0.11127489136051257,24,40560,2
276,0.0,0.0,0.0,24,40560,2
277,1.0,1.0,0.0,24,40560,2
278,0.0,0.9564968254987751,0.06851998465358217,24,40560,2
279,0.0,0.26781911113965706,0.0685199846535822,24,40560,2
280,0.0,0.0,0.0,24,40560,2
281,1.0,1.0,0.0,24,40560,2
282,0.0,0.9058715752395964,0.15560550499012815,24,40560,2
283,0.0,0.6341101026677175,0.15560550499012823,24,40560,2
284,0.0,0.9266955190197627,0.08895121107800569,24,40560,2
285,0.0,0.4633477595098814,0.08895121107800569,24,40560,2
286,0.0,0.0,0.0,24,40560,2
287,1.0,1.0,0.0,24,40560,2
288,0.0,0.2830320887023332,0.03172325928456764,24,40560,2
289,0.0,0.9906123104581663,0.03172325928456764,24,40560,2
290,0.0,0.9566953288800686,0.1658871153755213,24,40560,2
291,0.0,0.37204818345336,0.1658871153755213,24,40560,2
292,0.30228968255249156,0.9266955190197627,0.13200518208101772,24,40560,2
293,0.2267172619143687,0.5405723860948617,0.13200518208101772,24,40560,2
294,0.0,0.0,0.0,24,40560,2
295,0.0,0.0,0.0,24,40560,2
296,0.0,0.0,0.0,24,40560,2
297,1.0,1.0,0.0,24,40560,2
298,0.0,0.9566953288800686,0.10619371154120463,24,40560,2
299,0.0,0.33484336510802404,0.10619371154120459,24,40560,2
300,0.25718455247816896,0.04822210358965673,0.1338537120328654,24,40560,2
301,0.3857768287172534,0.3857768287172534,0.13385371203286536,24,40560,2
302,0.0,0.0,0.0,24,40560,2
303,1.0,1.0,0.0,24,40560,2
304,0.0,0.6859243927381253,0.27703522131511527,24,40560,2
305,0.0,0.6455758990476475,0.2770352213151152,24,40560,2
306,0.0,0.04867318652529595,0.11423991187823146,24,40560,2
307,0.0,0.2595903281349118,0.11423991187823149,24,40560,2
308,0.0,0.0,0.0,24,40560,2
309,1.0,1.0,0.0,24,40560,2
310,0.0,0.0,0.0,24,40560,2
311,1.0,1.0,0.0,24,40560,2
312,0.28937601053845174,0.6560361541373131,0.2483175694711323,24,40560,2
313,0.28937601053845174,0.7497556047283578,0.24831756947113218,24,40560,2
314,0.0,0.0,0.0,24,40560,2
315,1.0,1.0,0.0,24,40560,2
316,0.0,0.021627755774868973,0.0022757051076823256,24,40560,2
317,0.0,0.34604409239790457,0.002275705107682325,24,40560,2
318,0.0,0.0,0.0,24,40560,2
319,1.0,1.0,0.0,24,40560,2
320,0.0,0.6837143323513135,0.2600596502605798,24,40560,2
321,0.0,0.5209252056010008,0.26005965026058,24,40560,2
322,0.0,0.1815222802643841,0.03683302374886142,24,40560,2
323,0.0,0.7260891210575362,0.036833023748861424,24,40560,2
324,0.0,0.6941020280829157,0.24980111770174931,24,40560,2
325,0.0,0.6169795805181473,0.24980111770174931,24,40560,2
326,0.0,0.10396565603452901,0.17927965358336612,24,40560,2
327,0.0,0.2772417494254107,0.17927965358336606,24,40560,2
328,0.0,0.5092636270953987,0.16981348779350056,24,40560,2
329,0.0,0.9053575592807088,0.16981348779350056,24,40560,2
330,0.0,0.15450038258473897,0.005778689150656836,24,40560,2
331,0.0,0.8240020404519415,0.005778689150656836,24,40560,2
332,0.0,0.7351884583727188,0.2391057416930889,24,40560,2
333,0.0,0.45242366669090395,0.23910574169308882,24,40560,2
334,0.0,0.0,0.0,24,40560,2
335,1.0,1.0,0.0,24,40560,2
336,0.0,0.0,0.0,24,40560,2
337,1.0,1.0,0.0,24,40560,2
338,0.0,0.0,0.0,24,40560,2
339,1.0,1.0,0.0,24,40560,2
340,0.0,0.0,0.0,24,40560,2
341,1.0,1.0,0.0,24,40560,2
342,0.0,0.953278098565118,0.7662518037031304,24,40560,2
343,0.0,0.8972029162965817,0.7662518037031301,24,40560,2
344,0.0,0.8074378393027499,0.5978549538921012,24,40560,2
345,0.0,0.9937696483726154,0.597854953892101,24,40560,2
346,0.0,0.0,0.0,24,40560,2
347,1.0,1.0,0.0,24,40560,2
348,0.0,0.7351884583727188,0.22344885887608945,24,40560,2
349,0.0,0.47052061335854023,0.22344885887608942,24,40560,2
350,0.0,0.0,0.0,24,40560,2
351,1.0,1.0,0.0,24,40560,2
352,0.09092414845722707,0.5829221689622743,0.242894009019655,24,40560,2
353,0.13638622268584055,0.9326754703396389,0.24289400901965508,24,40560,2
354,0.0,0.8496316110725142,0.6574203501508301,24,40560,2
355,0.0,0.9710075555114448,0.6574203501508297,24,40560,2
356,0.0,0.0,0.0,24,40560,2
357,1.0,1.0,0.0,24,40560,2
358,0.0,0.12382653880727079,0.005180559898458212,24,40560,2
359,0.0,0.9906123104581663,0.005180559898458213,24,40560,2
360,0.0,0.6866021170767389,0.23772851666195938,24,40560,2
361,0.0,0.6103129929571012,0.23772851666195935,24,40560,2
362,0.0,0.7319622900153141,0.4256039095312434,24,40560,2
363,0.0,0.9759497200204188,0.4256039095312434,24,40560,2
364,0.0,0.04518185623019322,0.14419423372999124,24,40560,2
365,0.0,0.7229096996830917,0.14419423372999124,24,40560,2
366,0.0,0.0,0.0,24,40560,2
367,1.0,1.0,0.0,24,40560,2
368,0.0,0.6866021170767389,0.1837190176593309,24,40560,2
369,0.0,0.549281693661391,0.1837190176593309,24,40560,2
370,0.0,0.0,0.0,24,40560,2
371,1.0,1.0,0.0,24,40560,2
372,0.0,0.0,0.0,24,40560,2
373,0.0,0.0,0.0,24,40560,2
374,0.0,0.9932379538838316,0.6470916205742588,24,40560,2
375,0.0,0.6621586359225544,0.6470916205742591,24,40560,2
376,0.0,0.0,0.0,24,40560,2
377,1.0,1.0,0.0,24,40560,2
378,0.0,0.0,0.0,24,40560,2
379,1.0,1.0,0.0,24,40560,2
380,0.0,0.0,0.0,24,40560,2
381,0.0,0.0,0.0,24,40560,2
382,0.0,0.0,0.0,24,40560,2
383,1.0,1.0,0.0,24,40560,2
384,0.0,0.0,0.0,24,40560,2
385,0.0,0.0,0.0,24,40560,2
386,0.0,0.0,0.0,24,40560,2
387,1.0,1.0,0.0,24,40560,2
388,0.0,0.0,0.0,24,40560,2
389,0.0,0.0,0.0,24,40560,2
390,0.0,0.0,0.0,24,40560,2
391,0.0,0.0,0.0,24,40560,2
392,0.0,0.0,0.0,24,40560,2
393,0.0,0.0,0.0,24,40560,2
394,0.0,0.9932379538838316,0.42887869730975886,24,40560,2
395,0.0,0.3310793179612772,0.428878697309759,24,40560,2
396,0.0,0.0,0.0,24,40560,2
397,0.0,0.0,0.0,24,40560,2
398,0.0,0.0,0.0,24,40560,2
399,0.0,0.0,0.0,24,40560,2
400,0.0,0.9932379538838316,0.2653844233861809,24,40560,2
401,0.0,0.07640291952952549,0.265384423386181,24,40560,2
402,0.0,0.0,0.0,24,40560,2
403,1.0,1.0,0.0,24,40560,2
404,0.0,0.0,0.0,24,40560,2
405,1.0,1.0,0.0,24,40560,2
406,0.0,0.0,0.0,24,40560,2
407,1.0,1.0,0.0,24,40560,2
408,0.0,0.0,0.0,24,40560,2
409,1.0,1.0,0.0,24,40560,2
410,0.0,0.16825851607502018,0.05641237444437854,24,40560,2
411,0.0,0.01979511953823776,0.05641237444437854,24,40560,2
412,0.0,0.0,0.0,24,40560,2
413,0.0,0.0,0.0,24,40560,2
414,0.0,0.0,0.0,24,40560,2
415,1.0,1.0,0.0,24,40560,2
416,0.0,0.9932379538838316,0.24259964379935467,24,40560,2
417,0.0,0.0794590363107065,0.24259964379935473,24,40560,2
418,0.0,0.0,0.0,24,40560,2
419,1.0,1.0,0.0,24,40560,2
420,0.0,0.0,0.0,24,40560,2
421,0.0,0.0,0.0,24,40560,2
422,0.0,0.0,0.0,24,40560,2
423,0.0,0.0,0.0,24,40560,2
424,0.0,0.0,0.0,24,40560,2
425,1.0,1.0,0.0,24,40560,2
426,0.0,0.0,0.0,24,40560,2
427,0.0,0.0,0.0,24,40560,2
428,0.0,0.0,0.0,24,40560,2
429,0.0,0.0,0.0,24,40560,2
430,0.0,0.0,0.0,24,40560,2
431,0.0,0.0,0.0,24,40560,2
432,0.0,0.0,0.0,24,40560,2
433,0.0,0.0,0.0,24,40560,2
434,0.0,0.0,0.0,24,40560,2
435,1.0,1.0,0.0,24,40560,2
436,0.0,0.0,0.0,24,40560,2
437,0.0,0.0,0.0,24,40560,2
438,1.0,1.0,0.0,24,40560,2
439,0.0,0.0,0.0,24,40560,2
440,1.0,1.0,0.0,24,40560,2
441,0.0,0.0,0.0,24,40560,2
442,1.0,1.0,0.0,24,40560,2
443,1.0,1.0,0.0,24,40560,2
444,1.0,1.0,0.0,24,40560,2
445,1.0,1.0,0.0,24,40560,2
446,1.0,1.0,0.0,24,40560,2
447,0.0,0.0,0.0,24,40560,2
448,1.0,1.0,0.0,24,40560,2
449,1.0,1.0,0.0,24,40560,2
450,1.0,1.0,0.0,24,40560,2
451,0.0,0.0,0.0,24,40560,2
452,1.0,1.0,0.0,24,40560,2
453,1.0,1.0,0.0,24,40560,2
454,1.0,1.0,0.0,24,40560,2
455,0.0,0.0,0.0,24,40560,2
456,1.0,1.0,0.0,24,40560,2
457,0.0,0.0,0.0,24,40560,2
458,1.0,1.0,0.0,24,40560,2
459,0.0,0.0,0.0,24,40560,2
460,1.0,1.0,0.0,24,40560,2
461,0.0,0.0,0.0,24,40560,2
462,1.0,1.0,0.0,24,40560,2
463,0.0,0.0,0.0,24,40560,2
464,1.0,1.0,0.0,24,40560,2
465,0.0,0.0,0.0,24,40560,2
466,1.0,1.0,0.0,24,40560,2
467,0.0,0.0,0.0,24,40560,2
468,1.0,1.0,0.0,24,40560,2
469,1.0,1.0,0.0,24,40560,2
470,1.0,1.0,0.0,24,40560,2
471,1.0,1.0,0.0,24,40560,2
472,1.0,1.0,0.0,24,40560,2
473,1.0,1.0,0.0,24,40560,2
474,1.0,1.0,0.0,24,40560,2
475,1.0,1.0,0.0,24,40560,2
476,1.0,1.0,0.0,24,40560,2
477,0.0,0.0,0.0,24,40560,2
478,1.0,1.0,0.0,24,40560,2
479,0.0,0.0,0.0,24,40560,2
480,1.0,1.0,0.0,24,40560,2
481,1.0,1.0,0.0,24,40560,2
482,1.0,1.0,0.0,24,40560,2
483,0.0,0.0,0.0,24,40560,2
484,1.0,1.0,0.0,24,40560,2
485,1.0,1.0,0.0,24,40560,2
486,1.0,1.0,0.0,24,40560,2
487,0.0,0.0,0.0,24,40560,2
488,1.0,1.0,0.0,24,40560,2
489,0.0,0.0,0.0,24,40560,2
490,1.0,1.0,0.0,24,40560,2
491,1.0,1.0,0.0,24,40560,2
492,1.0,1.0,0.0,24,40560,2
493,0.0,0.0,0.0,24,40560,2
