,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Graph Number,,,,,,,,,,,,,,,,,,
0,0.24602778811657128,0.0,0.4190238238540717,0.47601006608392055,0.4463583391245761,0.41746144588440715,0.13149085399163746,0.012250222597070703,0.24516185205216195,27.0,27.0,0.0,35880.0,35880.0,0.0,2.0,2.0,0.0
1,0.31740102184997676,0.0,0.4571775997269404,0.47091916618119445,0.33898773610530747,0.44066512681716413,0.07227556089592278,0.0,0.13530520507651672,31.0,31.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
2,0.22109661319151966,0.0,0.4041076984367794,0.6246045612348893,0.7682023175741617,0.37530191853140915,0.2654016922526828,0.25351459674133786,0.26466469103629237,26.0,26.0,0.0,39000.0,39000.0,0.0,2.0,2.0,0.0
3,0.2667654279467416,0.0,0.43428177967379733,0.5170625234364583,0.538165339229021,0.40523139200450226,0.18363793795154326,0.0,0.24845595273543356,26.0,26.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
4,0.19260134355906072,0.0,0.38492659593705875,0.6114308464589996,0.8216195732561872,0.39538517835958487,0.2776639407462802,0.24883467215265648,0.26939757546519955,28.0,28.0,0.0,37440.0,37440.0,0.0,2.0,2.0,0.0
5,0.2207345412443177,0.0,0.4047517113934757,0.5287369598961382,0.6125997384631054,0.4007070732064525,0.15369421218531865,0.06949301355532286,0.1979169657737978,24.0,24.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
6,0.3176520897398894,0.0,0.4576964808550925,0.5690693516788317,0.7102697982552547,0.41667661098768216,0.14428425320893332,0.0,0.20970909720882225,25.0,25.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
7,0.2689487487015526,0.0,0.4330844569315939,0.4390448718346329,0.28060672126435227,0.4341254472557936,0.0537124814438433,0.0,0.12483800896077046,23.0,23.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
8,0.33748462216679453,0.0,0.4667414276784649,0.5297429209654191,0.5921625849555866,0.4351381721073107,0.1241246342682811,0.0,0.21028790594650823,23.0,23.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
9,0.21923837489353934,0.0,0.4037091174151995,0.5748197939027928,0.6514177749385668,0.3727155173141865,0.21724109732466165,0.16378423644891005,0.22988735366290994,27.0,27.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
10,0.29270008981739326,0.0,0.447809601974648,0.5518180744427456,0.7895600070476138,0.43618394354368334,0.12800506543527806,0.0,0.2093578193945288,23.0,23.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
11,0.41241460417953413,0.0,0.4858550699818812,0.5561199823604133,0.7473417644503695,0.4502180084080706,0.05292933910953618,0.0,0.13819594246779948,25.0,25.0,0.0,40560.0,40560.0,0.0,3.0,3.0,0.0
12,0.2688996671720901,0.0,0.43409071704866037,0.5039615874373171,0.4836176675379894,0.4105773269557817,0.06881067671373253,0.0,0.15101816346515484,24.0,24.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
13,0.3205075167657075,0.0,0.45659468592300684,0.4365747217103645,0.276979112112672,0.44184076003025946,0.05862214400399136,0.0,0.13086731547444486,22.0,22.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
14,0.24077376763813582,0.0,0.4175938100433221,0.5469439061726067,0.6677364995169384,0.41105057779058,0.1932900993249198,0.09648350876689246,0.24266348809992452,24.0,24.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
15,0.2168175033688429,0.0,0.4035034058193847,0.3958557506198846,0.21081557108151577,0.40781315361289694,0.07419112685051966,0.0,0.13371725065604115,26.0,26.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
16,0.28935037428581073,0.0,0.4462278134574936,0.5171611409673995,0.6125882256814317,0.44147091608133304,0.12437670211532137,0.0,0.22036765559833935,23.0,23.0,0.0,34320.0,34320.0,0.0,3.0,3.0,0.0
17,0.24112149594203824,0.0,0.41959818181024733,0.4402731758551601,0.35939966645488064,0.42516141228075266,0.07855327545691053,0.0,0.14464068632511531,25.0,25.0,0.0,39000.0,39000.0,0.0,2.0,2.0,0.0
18,0.3657614804907099,0.0,0.4733872278398024,0.5692588214070802,0.7836461420038525,0.4395916959876735,0.07479626269132379,0.0,0.1628990309568259,25.0,25.0,0.0,34320.0,34320.0,0.0,3.0,3.0,0.0
19,0.24511464807463057,0.0,0.41916677317972445,0.5520236647630475,0.6101235963250952,0.4088714324772246,0.14464105639280256,0.013039534292512622,0.1988601290092775,21.0,21.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
20,0.263564024051025,0.0,0.433207267496571,0.5496737018154242,0.7195039679412906,0.4260682984944605,0.20149294768191098,0.0,0.2838127319115432,23.0,23.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
21,0.3159837111552863,0.0,0.45719911257335405,0.5144757457788018,0.6819439068109772,0.4469074179214738,0.10352433384987558,0.0,0.19367609585821338,27.0,27.0,0.0,37440.0,37440.0,0.0,2.0,2.0,0.0
22,0.2638227731059149,0.0,0.4340726489591278,0.5097852567465837,0.5441173828332938,0.4180293536267688,0.11743323681565744,0.0,0.1870310434629841,23.0,23.0,0.0,37440.0,37440.0,0.0,2.0,2.0,0.0
23,0.29347894522011725,0.0,0.4459149328380175,0.5271057643341509,0.6618670651758463,0.44613080850023806,0.13142801596831252,0.0,0.21927156584083016,27.0,27.0,0.0,40560.0,40560.0,0.0,3.0,3.0,0.0
24,0.33838477562853053,0.0,0.465742051253439,0.5451478299044779,0.7512887472721341,0.44840146481239024,0.1237613169096131,0.0,0.24487115835395876,24.0,24.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
